192.241.215.151 - - [17/Oct/2022:00:10:20 +0300] "-" 400 1985
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "OPTIONS /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=isCommunityAdmin&embed=feature HTTP/1.1" 200 5
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "OPTIONS /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=administratorOf&embed=feature HTTP/1.1" 200 5
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=isCollectionAdmin&embed=feature HTTP/1.1" 200 360
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=isCommunityAdmin&embed=feature HTTP/1.1" 200 359
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "OPTIONS /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=canManageGroups&embed=feature HTTP/1.1" 200 5
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=administratorOf&embed=feature HTTP/1.1" 200 358
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "OPTIONS /server/api/statistics HTTP/1.1" 200 5
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=canManageGroups&embed=feature HTTP/1.1" 200 358
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "GET /server/api/statistics HTTP/1.1" 200 375
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "OPTIONS /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=epersonRegistration&embed=feature HTTP/1.1" 200 5
